Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-02-04,228.77,230.25,221.85,227.11,3344.12078291,757807.645062,226.608933785
2015-05-11,241.59,245.49,239.5,242.86,6176.48124216,1498051.62221,242.54127285
2015-05-12,242.74,243.4,240.37,242.03,6322.57141234,1531045.87609,242.155568713
2015-05-13,242.04,244.13,235.54,236.32,10028.9468827,2424122.91549,241.712608894
2015-05-14,236.93,240.0,232.61,237.46,10365.9680408,2462002.45882,237.50820465
2015-05-15,237.39,239.0,236.89,237.82,9086.29472672,2161201.59545,237.852904892
2015-05-16,237.91,237.99,235.48,236.73,2739.83077381,650616.078105,237.465789612
2015-05-17,236.72,238.45,236.7,237.12,4917.8941314,1167794.87763,237.458319847
2015-05-18,237.1,237.89,231.66,234.04,7092.73376658,1674027.61805,236.020083813
2015-05-19,234.04,234.92,231.53,232.59,6915.07305287,1613239.62628,233.293215262
2015-05-20,232.58,235.0,232.54,234.54,7055.61717952,1650580.66479,233.938523419
2015-05-21,234.55,236.74,234.16,235.77,6237.93365231,1469432.59149,235.563998176
2015-05-22,235.77,242.0,235.11,240.45,7695.08723864,1838029.90439,238.857578528
2015-05-23,240.41,240.64,237.89,239.36,3726.99014521,892977.238426,239.597424097
2015-05-24,239.38,242.0,238.27,240.82,3406.31213942,818982.647046,240.430886403
2015-05-25,240.68,241.4,236.71,237.43,3984.51485195,950321.278307,238.503635604
2015-05-26,237.39,238.34,235.81,236.79,6216.5976611,1476792.69091,237.556420959
2015-05-27,236.8,238.75,236.47,237.35,6580.30609489,1562854.64102,237.504854407
2015-05-28,237.35,238.48,236.23,237.34,6022.72194413,1429130.27701,237.28976537
2015-05-29,237.25,237.68,235.01,236.89,6398.99136435,1515234.11037,236.792648105
2015-05-30,236.89,236.99,231.0,233.55,6280.90799929,1468957.23274,233.87657213
2015-05-31,233.61,233.94,229.55,230.21,5913.05798545,1372652.46826,232.139186127
2015-06-01,230.18,230.99,221.58,223.56,10192.0176466,2305231.6918,226.180111902
2015-06-02,223.55,226.68,221.84,225.85,9003.13139658,2023694.15435,224.776698819
2015-06-03,225.83,227.45,223.82,225.86,6865.973523,1552029.36017,226.046511098
2015-06-04,225.85,226.07,223.56,224.57,5968.04396352,1343792.43484,225.164634017
2015-06-05,224.57,226.74,223.01,224.97,6597.81297231,1484538.5469,225.004642163
2015-06-06,225.03,225.61,224.27,225.48,3610.50147451,812328.738466,224.990557185
2015-06-07,225.48,226.09,222.88,223.89,3622.8028596,813233.588447,224.476357109
2015-06-08,223.88,230.16,223.63,229.1,6964.0648522,1582657.98583,227.260661614
2015-06-09,229.1,232.06,228.31,229.18,6346.6306686,1460344.95208,230.097673606
2015-06-10,229.31,230.45,227.98,228.73,5978.99455875,1369542.81096,229.059049561
2015-06-11,228.79,230.92,228.7,229.69,5605.95005072,1287633.58427,229.690520362
2015-06-12,229.68,231.32,229.01,229.47,6060.53162572,1394308.52515,230.063732237
2015-06-13,229.21,233.49,228.79,233.47,4139.5737215,957524.602967,231.309953002
2015-06-14,233.49,235.0,232.53,233.6,2314.73634054,540910.006871,233.681044963
2015-06-15,233.61,238.5,233.6,236.99,6051.86252839,1430992.43538,236.454881232
2015-06-16,236.92,253.26,236.01,251.91,10434.1481481,2551107.89701,244.496039426
2015-06-17,251.88,259.46,247.0,250.25,9886.2009048,2490858.92069,251.953095499
2015-06-18,250.18,253.29,243.51,249.27,8234.70571275,2054765.00465,249.52500749
2015-06-19,249.33,251.05,245.04,246.33,6096.25794923,1513934.87559,248.338388599
2015-06-20,246.33,246.99,240.46,246.13,4371.21458011,1067504.86059,244.212413056
2015-06-21,246.08,246.98,242.0,244.66,3694.45385093,902762.587864,244.356168541
2015-06-22,244.66,248.5,243.86,247.5,5569.60351861,1372558.01721,246.437293538
2015-06-23,247.48,248.06,243.01,244.52,5297.1415872,1298934.01831,245.214139914
2015-06-24,244.54,244.92,239.51,240.04,5323.51072526,1288907.01394,242.11597956
2015-06-25,240.14,243.44,239.91,242.44,5678.55548776,1373799.76597,241.927681949
2015-06-26,242.46,243.1,239.91,243.0,6539.24758549,1581840.46743,241.899461177
2015-06-27,242.99,252.22,242.6,251.59,5287.8661909,1306859.74932,247.143120144
2015-06-28,251.46,251.87,247.51,249.11,4290.97455352,1072192.35313,249.871524466
2015-06-29,249.11,257.99,249.09,257.54,10401.5087281,2645225.77747,254.311739442
2015-06-30,257.53,269.39,255.91,263.82,12009.7861067,3158012.37676,262.953257343
2015-07-01,263.83,265.45,255.12,259.02,8238.7119877,2139636.96532,259.705275354
2015-07-02,258.96,262.0,253.0,254.85,6283.48126529,1616638.04464,257.283817105
2015-07-03,254.86,257.37,252.77,256.95,4782.98346498,1221770.39867,255.441066777
2015-07-04,256.94,261.0,254.4,260.64,4091.5562419,1052865.66332,257.326455039
2015-07-05,260.64,275.25,258.99,271.74,8452.80236186,2261217.51729,267.510988722
2015-07-06,272.17,277.88,268.27,269.94,10013.5785874,2734817.61135,273.110915093
2015-07-07,269.78,272.11,264.5,266.18,6984.3821578,1874406.9817,268.371194381
2015-07-08,266.18,273.97,264.41,270.97,7798.11588097,2103312.99199,269.720663824
2015-07-09,271.5,272.5,267.1,269.75,6970.30224745,1883068.4813,270.155929321
2015-07-10,269.77,294.71,269.0,286.67,15892.7509272,4531562.90489,285.133953563
